"['/cfb/players/willie-davis-2.html', '/cfb/players/davis-5.html']",67,likely,
"['/cfb/players/andre-davis-4.html', '/cfb/players/willie-davis-2.html']",78,unsure,likely not same player
"['/cfb/players/jon-lejiste-1.html', '/cfb/players/john-lejiste-1.html']",56,likely,
"['/cfb/players/claude-davis-1.html', '/cfb/players/willie-davis-2.html']",78,unsure,mismatching names and pos_group
"['/cfb/players/willie-davis-2.html', '/cfb/players/andre-davis-4.html']",100,unsure,likely not same player
"['/cfb/players/jessie-hester-jr-1.html', '/cfb/players/jessie-hester-2.html']",47,likely,
"['/cfb/players/gerald-dixon-2.html', '/cfb/players/gerald-dixon-jr-1.html']",55,likely,
"['/cfb/players/baker-2.html', '/cfb/players/jacob-baker-1.html', '/cfb/players/eric-baker-1.html']",100,unsure,too many player_hrefs
"['/cfb/players/baker-2.html', '/cfb/players/jacob-baker-1.html']",67,likely,
"['/cfb/players/jacob-baker-1.html', '/cfb/players/eric-baker-1.html']",67,likely,
"['/cfb/players/ross-metheny-1.html', '/cfb/players/ross-metheny-2.html']",46,likely,
"['/cfb/players/davin-hawkins-1.html', '/cfb/players/david-hawkins-1.html']",52,unsure,likely not same player
"['/cfb/players/davin-hawkins-1.html', '/cfb/players/david-hawkins-1.html']",44,unsure,likely not same player
"['/cfb/players/bj-scott-1.html', '/cfb/players/bj-scott-3.html']",40,likely,
"['/cfb/players/hansel-wilson-1.html', '/cfb/players/hansell-wilson-1.html']",54,likely,
"['/cfb/players/damon-ogburn-jr-1.html', '/cfb/players/damon-ogburn-jr-2.html']",50,likely,
"['/cfb/players/zach-dilley-1.html', '/cfb/players/zack-dilley-1.html']",61,likely,
"['/cfb/players/drew-westling-1.html', '/cfb/players/drew-westling-2.html']",59,likely,
"['/cfb/players/jamil-merrell-1.html', '/cfb/players/jamal-merrell-1.html']",50,likely,
"['/cfb/players/san-san-te-1.html', '/cfb/players/san-san-1.html']",53,likely,
"['/cfb/players/domenic-natale-1.html', '/cfb/players/domenic-natale-2.html']",50,likely,
"['/cfb/players/dolapo-macarthy-1.html', '/cfb/players/macarthy-dolapo-1.html']",47,likely,
"['/cfb/players/kurt-freytag-1.html', '/cfb/players/freytag-1.html']",50,likely,
"['/cfb/players/normondo-harris-1.html', '/cfb/players/normando-harris-1.html']",54,likely,
"['/cfb/players/michael-rouse-iii-1.html', '/cfb/players/michael-rouse-1.html']",54,likely,
"['/cfb/players/ray-vinopal-1.html', '/cfb/players/ray-vinopal-2.html']",50,likely,
"['/cfb/players/hubie-graham-1.html', '/cfb/players/hubie-graham-2.html']",54,likely,
"['/cfb/players/zach-brown-3.html', '/cfb/players/zach-brown-4.html']",67,likely,
"['/cfb/players/alex-kenney-2.html', '/cfb/players/alex-kenney-1.html']",61,likely,
"['/cfb/players/glenn-carson-1.html', '/cfb/players/carson-1.html']",61,likely,
"['/cfb/players/alex-butterworth-1.html', '/cfb/players/butterworth-1.html']",53,likely,
"['/cfb/players/kyle-baublitz-1.html', '/cfb/players/baublitz-1.html']",58,likely,
"['/cfb/players/daquan-jones-1.html', '/cfb/players/jones-2.html']",73,likely,
"['/cfb/players/stephen-obeng-agyapong-1.html', '/cfb/players/obeng-agyapong-1.html']",56,likely,
"['/cfb/players/anthony-smith-6.html', '/cfb/players/smith-10.html']",74,likely,
"['/cfb/players/jordan-smith-1.html', '/cfb/players/anthony-smith-6.html']",71,likely,
"['/cfb/players/tyrone-smith-1.html', '/cfb/players/jordan-smith-1.html']",72,unsure,likely not same player
"['/cfb/players/malcolm-willis-1.html', '/cfb/players/willis-1.html']",55,likely,
"['/cfb/players/nyeem-wartman-1.html', '/cfb/players/nyeem-wartman-2.html']",47,likely,
"['/cfb/players/paul-jones-5.html', '/cfb/players/daquan-jones-1.html']",73,unsure,likely not same player
"['/cfb/players/curtis-dukes-1.html', '/cfb/players/dukes-1.html']",83,likely,
"['/cfb/players/brad-bars-1.html', '/cfb/players/bars-1.html']",60,likely,
"['/cfb/players/jordan-hill-2.html', '/cfb/players/hill-2.html']",71,likely,
"['/cfb/players/pete-massaro-1.html', '/cfb/players/massaro-1.html']",50,likely,
"['/cfb/players/sean-stanley-1.html', '/cfb/players/stanley-1.html']",70,likely,
"['/cfb/players/stephon-morris-1.html', '/cfb/players/morris-1.html']",64,likely,
"['/cfb/players/curtis-drake-1.html', '/cfb/players/drake-1.html']",83,likely,
"['/cfb/players/jordan-smith-1.html', '/cfb/players/devon-smith-1.html']",73,unsure,likely not same player
"['/cfb/players/jon-rohrbaugh-1.html', '/cfb/players/rohrbaugh-1.html']",52,likely,
"['/cfb/players/derrick-thomas-2.html', '/cfb/players/thomas-6.html']",64,likely,
