498,La.-Monroe,Louisiana-Monroe
342,Lafayette,Lafayette
1162,LaGrange,
2746,Lake Erie,
344,Lake Forest,
345,Lake Superior St.,
1164,Lakeland,
346,Lamar University,Lamar
1165,Lambuth,
30085,Lancaster Bible,
1167,Lander,
347,Lane,
30077,Langston,
8486,Lasell,
348,Lawrence,
349,Le Moyne,
351,Lebanon Valley,
30013,Lee,
13302,Lees-McRae,
352,Lehigh,Lehigh
279,Lehman,
350,LeMoyne-Owen,
1170,Lenoir-Rhyne,
24317,Lesley ,
8490,LeTourneau,
354,Lewis,
22235,Lewis & Clark,
1172,Lewis-Clark St.,
355,Liberty,Liberty
1174,Limestone,
356,Lincoln (MO),
357,Lincoln (PA),
30066,Lincoln Christian,
1176,Lincoln Memorial,
502725,Lindenwood (MO),
30136,Lindenwood (MO),
1179,Linfield,
28600,Lipscomb,
32,Little Rock,
361,LIU Brooklyn,
362,LIU Post,
359,Livingstone,
360,Lock Haven,
99,Long Beach St.,
363,Longwood,
364,Loras,
506442,Los Angeles Pacific,
671,Louisiana,Louisiana-Lafayette
1182,Louisiana Col.,
366,Louisiana Tech,Louisiana Tech
367,Louisville,Louisville
502812,Loyola (LA),
371,Loyola Chicago,
369,Loyola Maryland,
370,Loyola Marymount,
365,LSU,LSU
502787,LSU-Shreveport,
30177,Lubbock Christian,
372,Luther,
373,Lycoming,
374,Lynchburg,
30065,Lyndon St.,
20794,Lynn,
376,Macalester,
377,MacMurray,
380,Maine,Maine
378,Maine Maritime,
30137,Malone,
502910,Malone,
1192,Manchester,
381,Manhattan,
382,Manhattanville,
384,Mansfield,
1194,Maranatha Baptist,
502945,Marian (IN),
1196,Marian (WI),
385,Marietta,
386,Marist,Marist
387,Marquette,
1199,Mars Hill,
388,Marshall,Marshall
8597,Martin Luther,
30075,Mary,
389,Mary Baldwin,
1203,Mary Hardin-Baylor,
390,Mary Washington,
392,Maryland,Maryland
394,Marymount (VA),
395,Maryville (MO),
396,Maryville (TN),
397,Marywood,
399,Mass. Maritime,
400,Massachusetts,Massachusetts
773,McDaniel,
503037,McGill,
503040,McKendree,
30138,McKendree,
486,MCLA,
8530,McMurry,
402,McNeese,McNeese State
506039,McPherson,
379,Me.-Farmington,
30040,Me.-Presque Isle,
23725,Medaille,
403,Medgar Evers,
404,Memphis,Memphis
405,Menlo,
506395,Meramec CC,
406,Mercer,Mercer
724,Merchant Marine,
407,Mercy,
408,Mercyhurst,
409,Meredith,
410,Merrimack,
411,Messiah,
412,Methodist,
415,Miami (FL),Miami
414,Miami (OH),Miami (OH)
506396,Miami Dade North JC,
506399,Miami Dade South JC,
418,Michigan,Michigan
416,Michigan St.,Michigan State
417,Michigan Tech,
419,Middle Tenn.,Middle Tennessee State
420,Middlebury,
506060,Midland,
